bis-triphenylphospine-palladium(ii) chloride	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Cl-].[Pd+2]
cypf-t-bu	CC(C)(C)P(C1CCCCC1)F
bis(dibenzylideneacetone)-palladium(0)	C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2.C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2.[Pd]
hydrogen	[H][H]
10percent pd/c	[Pd]
grubb's 2nd generation catalyst	CC1=CC(=C(C(=C1)C)N2CCN(C2=[Ru](=CC3=CC=CC=C3)(Cl)Cl)C4=C(C=C(C=C4C)C)C)C.C1CCC(CC1)P(C2CCCCC2)C3CCCCC3
4-(n,n-dimethylamino)pyridine	CN(C)C1=CC=NC=C1
dichloro bis(acetonitrile) palladium(ii)	CC#N.CC#N.Cl[Pd]Cl
pd-baso4	[O-]S(=O)(=O)[O-].[Pd].[Ba+2]
tri-ruthenium(0)dodecacarbonyl	[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ru].[Ru].[Ru]
5percent pd/c	[Pd]
rhcl(pph3)3	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Rh]
rh/al2o3	O=[Al]O[Al]=O.[Rh]
n-ethyl-n,n-diisopropylamine	CCN(C(C)C)C(C)C
n-bromosuccinmide	C1CC(=O)N(C1=O)Br
1-ethyl-(3-(3-dimethylamino)propyl)-carbodiimide hydrochloride	CCN=C=NCCCN(C)C
n,n-dimethyl-formamide	CN(C)C=O
dmfa	CN(C)C=O
n,n-dimethyl acetamide	CC(=O)N(C)C
4-(n,n-dimethlyamino)pyridine	CN(C)C1=CC=NC=C1
copper(l) iodide	[Cu]I
palladium on activated charcoal	[Pd]
palladium 10 on activated carbon	[Pd]
copper(l) chloride	Cl[Cu]
n,n,n',n,-tetramethylethylenediamine	CN(C)CCN(C)C
trifluorormethanesulfonic acid	C(F)(F)(F)S(=O)(=O)O
potassium hexamethylsilazane	C[Si]([N-][Si](C)(C)C)(C)C.[K+]
titanium(iv) isopropylate	CC([O-])C.CC([O-])C.CC([O-])C.CC([O-])C.[Ti+4]
hydrochlorid acid	Cl
tris(dibenzylideneacetone)dipalladium(0) chloroform complex	ClC(Cl)Cl.O=C(/C=C/c1ccccc1)/C=C/c2ccccc2.O=C(/C=C/c3ccccc3)/C=C/c4ccccc4.O=C(/C=C/c5ccccc5)/C=C/c6ccccc6.[Pd].[Pd]
anhydrous iron chloride	Cl[Fe](Cl)Cl
tin(ll) chloride	Cl[Sn]Cl
silver(l) oxide	[O-2].[Ag+].[Ag+]
bis(eta3-allyl-mu-chloropalladium(ii))	Cl[Pd]CC=C.C=CC[Pd]Cl
alcl3, aluminium chloride	Cl[Al](Cl)Cl
borane-thf	[BH3-][O+]1CCCC1
pph3 gold(i) chloro complex	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Au]
mineral oil	
(benzotriazo-1-yloxy)tris(dimethylamino)phosphonium hexafluorophosphate	F[P-](F)(F)(F)(F)F.n1nn(O[P+](N(C)C)(N(C)C)N(C)C)c2ccccc12
not given	
various solvent(s)	
neat (no solvent)	
dipotassium peroxodisulfate	[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+]
p-benozquinone	C1=CC(=O)C=CC1=O
petroleum ether	
4 a molecular sieve	
cuso4?5h2o	[O-]S(=O)(=O)[O-].[Cu+2]
anhydrous xylene	CC1=CC=C(C)C=C1
tea	CCN(CC)CC
3 a molecular sieve	
ppa	OP(O)(OP(O)(O)=O)=O
deuterated toluene	[2H]C([2H])([2H])C1=C([2H])C([2H])=C([2H])C([2H])=C1[2H]
2-(dicyclohexylphosphino)-2',4',6'-tri-i-propyl-1,1?-biphenyl	CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C
dichloro(1,1'-bis(diphenylphosphanyl)ferrocene)palladium(ii) dichloromethane adduct	[Fe].ClCCl.Cl[Pd]Cl.[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6
phosphorus trichoride	ClP(Cl)Cl
dicyclohexyl(2?,6?-dimethoxybiphenyl-2-yl)phosphine	C1(CCCCC1)P(C1(C(=C(C=CC1)OC)C1=CC=CC=C1)OC)C1CCCCC1
air	O=O.N#N
tetrapropylammonium perruthennate	CCC[N+](CCC)(CCC)CCC.O=[Ru](=O)([O-])=O
dmaa	CCC(C)CC(C)N
anhydrous butyl ether	CCCCOCCCC
dme	COC
oxonereg;	OS([O-])(=O)=O.[O-]S([O-])(=O)=O.OS(=O)(O[O-])=O.OS(=O)(O[O-])=O.[K+].[K+].[K+].[K+].[K+]
l-selectridereg;	[Li+].CCC(C)[BH-](C(C)CC)C(C)CC
iodine cloride	ClI
di-mu-chloro-bis(eta4-1,5-cyclooctadiene)diiridium	Cl[Ir].Cl[Ir].C1CC=CCCC=C1.C2CC=CCCC=C2
bis(acetylacetonate)nickel(ii)	C/C(=C/C(=O)C)/O.C/C(=C/C(=O)C)/O.[Ni]
dimethylsulfide borane complex	[BH3-][S+](C)C
copper(i) bromide dimethylsulfide complex	CSC.[Cu+].[Br-]
n,n'-dimethyl-n,n'-propyleneurea	O=C(N1C)N(C)CC1C
2,2,6,6-tetramethyl-1-piperidinyloxy, free radical	[O]N1C(C)(C)CCCC1(C)C
lawesson's  reagent	S=P1(SP(=S)(S1)c2ccc(OC)cc2)c3ccc(OC)cc3
tri(tert-butyl)phosphonium tetrafluoroboronate	CC([PH+](C(C)(C)C)C(C)(C)C)(C)C.F[B-](F)(F)F
5 palladium on charcoal	[Pd]
10 pd/c	[Pd]
cucl2路2h2o	[Cu+2].[Cl-].[Cl-]
pyridine-so3 complex	O=S(=O)=O.n1ccccc1
platinum on activated charcoal	[Pt]
sulfur trioxide pyridine complex	O=S(=O)=O.n1ccccc1
epoxysulfonyl fluoride	O=S(OS(=O)(F)=O)(F)=O
dicyclohexyl(2?,6?-diisopropoxybiphenyl-2-yl)phosphine	C1(CCCCC1)P(C1(C(=C(C=CC1)OC(C)C)C1=CC=CC=C1)OC(C)C)C1CCCCC1
dicobalt octacarbonyl	O=C=[Co]1(=C=O)(=C=O)C(=O)[Co](=C=O)(=C=O)(=C=O)C1=O
2,2,6,6-tetramethyl-piperidine-n-oxyl	[O]N1C(C)(C)CCCC1(C)C
[cu(mecn)4]+[pf6]-	CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+]
[ni0(1,5-cyclooctadiene)2]	C1CC=CCCC=C1.C1CC=CCCC=C1.[Ni]
anhydrous copper acetate	CC([O-])=O.CC([O-])=O.[Cu+2]
thf-d8 (tetrahydrofuran-d8)	[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O1
rucl2(tricyclohexylphosphine)2(benzylidene)	Cl/[Ru](Cl)=C\C1=CC=CC=C1.C2(P(C3CCCCC3)C4CCCCC4)CCCCC2.C5(P(C6CCCCC6)C7CCCCC7)CCCCC5
bis(eta4-1,5-cyclooctadiene)-di-mu-methoxy-diiridium(i)	C[O+]1[Ir-]2[O+](C)[Ir-]12.C3CC=CCCC=C3.C4CC=CCCC=C4
[rh(oh)(cycloocta-1,5-diene)]2	[Rh]O.C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2
fecl3路6h2o	Cl[Fe](Cl)Cl.O.O.O.O.O.O
pd0(tris(tert-butyl)phosphine)2	CC(C)(P(C(C)(C)C)C(C)(C)C)C.CC(C)(P(C(C)(C)C)C(C)(C)C)C.[Pd]
(s)-[alpha,alpha-bis(3,5-bistrifluoromethyl)phenyl]-2-pyrrolidine methanol trimethylsilyl ether	FC(C1=CC(C(F)(F)F)=CC(C([C@H]2NCCC2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)O[Si](C)(C)C)=C1)(F)F
n-benzyl-trimethylammonium hydroxide	C[N+](C)(CC1=CC=CC=C1)C.[OH-]
phosphate buffer	[O-]P([O-])(O)=O.OP(O)([O-])=O.[Na+].[Na+].[K+].[Cl-].[K+].[Na+].[Cl-]
aq. phosphate buffer	[O-]P([O-])(O)=O.OP(O)([O-])=O.[Na+].[Na+].[K+].[Cl-].[K+].[Na+].[Cl-].O
cu(i)[(ch3cn)4]bf4	CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+]
pcy3?hbf4	F[B-](F)(F)F.[H][P+](C1CCCCC1)(C2CCCCC2)C3CCCCC3
further solvent(s)	
[rh2(octanoate)4]	CCCCCCCC(=O)O[Rh](OC(=O)CCCCCCC)[Rh](OC(=O)CCCCCCC)OC(=O)CCCCCCC
jones reagent	O=[Cr](=O)=O.OS(=O)(O)=O.O
chloro(1,5-cyclooctadiene)(pentamethylcyclopentadienyl)ruthenium(ii)	Cl[Ru]C1=C(C)C(C)=C(C)C1(C)C.C2=C\CC/C=C\CC/2
4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl-4',4',5',5'-tetramethyl-1,3,2-dioxaborolane	CC1(C)OB(OC1(C)C)B2OC(C)(C)C(C)(C)O2
o-(6-chloro-1h-benzotriazol-1-yl)-1,1,3,3-tetramethyluronium hexafluorophosphate	CN(C)/C(N(C)C)=[O+]\N1N=NC2=CC=C(Cl)C=C21.F[P-](F)(F)(F)(F)F
benzylidene[1,3-bis(2,4,6-trimethylphenyl)-2-imidazolidinylidene] dichloro (tricyclohexylphosphine)ruthenium	Cl/[Ru](Cl)=C1N(C2=C(C)C=C(C)C=C2C)C(CNC3=C(C)C=C(C)C=C3C)=CC4=CC=CC=C4.P(C5CCCCC5)(C6CCCCC6)C7CCCCC7
ascorbic acid powder	OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
aliquatreg; 336	CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-]
[mecnau((1,1?-biphenyl-2-yl)-di-tert-butylphosphine)]+sbf6?	CC#N.CC(C)(P(C(C)(C)C)c1c(c2ccccc2)cccc1)C.F[Sb-](F)(F)(F)(F)F.[Au+]
bis(acetylacetonate)oxovanadium	CC(=O)[CH-]C(=O)C.CC(=O)[CH-]C(=O)C.O=[V+2]
tetrakis-(ethylene)-mu,mu'-dichlorodirhodium(i)	CN(/C(N(C)C)=C(N(C)C)/N(C)C)C.[Rh]Cl.[Rh]Cl
[nicl2(1,2-dimethoxyethane)]	CC(OC)OC.Cl[Ni]Cl
tetracarbonylbis(mu-chloro)dirhodium(i)	[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Cl+]1[Rh-][Cl+][Rh-]1
jone's reagent	O=[Cr](=O)=O.OS(=O)(O)=O.O
sncl2路2h2o	Cl[Sn]Cl.O.O
